Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2015,2015-09-13,1,1,22.092,DET,@,SDG,L 28-33,,7,50,7.14,1,4,4,44,11.00,0,100.0%,11.00,3,105,35.00,0,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,21,45%,0,0%,7,24%,
2,2015,2015-09-20,2,2,22.099,DET,@,MIN,L 16-26,*,6,9,1.50,0,1,1,9,9.00,0,100.0%,9.00,3,84,28.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,40%,0,0%,6,25%,
3,2015,2015-09-27,3,3,22.106,DET,,DEN,L 12-24,,8,23,2.88,0,5,2,19,9.50,1,40.0%,3.80,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,34,46%,0,0%,5,21%,
4,2015,2015-10-05,4,4,22.114,DET,@,SEA,L 10-13,*,13,33,2.54,0,5,2,11,5.50,0,40.0%,2.20,2,54,27.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,54%,0,0%,4,17%,
5,2015,2015-10-11,5,5,22.120,DET,,ARI,L 17-42,,6,16,2.67,0,2,1,9,9.00,0,50.0%,4.50,1,41,41.00,0,0,0,0.0,0,0,0,0,0,2,1,0,0,0,0,15,16%,0,0%,3,10%,
6,2015,2015-10-18,6,6,22.127,DET,,CHI,W 37-34,*,14,48,3.43,0,4,3,21,7.00,0,75.0%,5.25,1,22,22.00,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,35,43%,0,0%,3,8%,
7,2015,2015-10-25,7,7,22.134,DET,,MIN,L 19-28,,8,43,5.38,0,0,0,0,,0,0.0%,,3,79,26.33,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,22%,0,0%,4,13%,
8,2015,2015-11-01,8,8,22.141,DET,@,KAN,L 10-45,,1,3,3.00,0,2,0,0,,0,0.0%,0.00,6,151,25.17,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,8%,0,0%,8,27%,
9,2015,2015-11-15,9,10,22.155,DET,@,GNB,W 18-16,,5,15,3.00,0,1,1,7,7.00,0,100.0%,7.00,2,134,67.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,18%,0,0%,3,9%,
10,2015,2015-11-22,10,11,22.162,DET,,OAK,W 18-13,,12,44,3.67,0,2,1,2,2.00,0,50.0%,1.00,2,54,27.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,35%,0,0%,4,15%,
11,2015,2015-11-26,11,12,22.166,DET,,PHI,W 45-14,*,16,63,3.94,0,2,1,12,12.00,0,50.0%,6.00,1,25,25.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,39%,0,0%,3,10%,
12,2015,2015-12-03,12,13,22.173,DET,,GNB,L 23-27,*,13,67,5.15,0,1,0,0,,0,0.0%,0.00,2,51,25.50,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,31%,0,0%,4,13%,
13,2015,2015-12-13,13,14,22.183,DET,@,STL,L 14-21,*,7,23,3.29,0,2,2,21,10.50,0,100.0%,10.50,1,21,21.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,27%,0,0%,4,16%,
14,2015,2015-12-21,14,15,22.191,DET,@,NOR,W 35-27,*,9,77,8.56,1,2,2,12,6.00,0,100.0%,6.00,4,123,30.75,0,1,6,0.0,0,0,0,,,1,1,0,0,0,0,22,42%,0,0%,5,17%,
15,2015,2015-12-27,15,16,22.197,DET,,SFO,W 32-17,*,8,39,4.88,0,4,4,9,2.25,0,100.0%,2.25,2,69,34.50,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,28%,0,0%,4,14%,
16,2015,2016-01-03,16,17,22.204,DET,@,CHI,W 24-20,*,10,44,4.40,0,1,1,7,7.00,0,100.0%,7.00,4,64,16.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,40%,0,0%,5,22%,
17,2016,2016-09-11,1,1,23.090,DET,@,IND,W 39-35,*,12,63,5.25,0,5,5,57,11.40,1,100.0%,11.40,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,40,62%,0,0%,1,3%,
18,2016,2016-09-18,2,2,23.097,DET,,TEN,L 15-16,*,6,38,6.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,22%,0,0%,0,0%,
19,2016,2016-09-25,,3,,DET,@,GNB,L 27-34,Injured Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2016,2016-10-02,,4,,DET,@,CHI,L 14-17,Injured Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2016,2016-10-09,,5,,DET,,PHI,W 24-23,Injured Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2016,2016-10-16,,6,,DET,,LAR,W 31-28,Injured Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2016,2016-10-23,,7,,DET,,WAS,W 20-17,Injured Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2016,2016-10-30,,8,,DET,@,HOU,L 13-20,Injured Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2016,2016-11-06,,9,,DET,@,MIN,W 22-16,Injured Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2016,2016-11-20,,11,,DET,,JAX,W 26-19,Injured Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2016,2016-11-24,,12,,DET,,MIN,W 16-13,Injured Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2016,2016-12-04,,13,,DET,@,NOR,W 28-13,Injured Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2016,2016-12-11,,14,,DET,,CHI,W 20-17,Injured Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2016,2016-12-18,,15,,DET,@,NYG,L 6-17,Injured Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2016,2016-12-26,,16,,DET,@,DAL,L 21-42,Injured Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2016,2017-01-01,,17,,DET,,GNB,L 24-31,Injured Reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
